OrderNumber,Date,InvoiceType,CustomerCode,Customer,BranchCode,Branch,Area,SalesRep,Brand,Category,SalesQuantity,SalesValue
SO-101663,2024-01-10,Return,1002,Lulu Hypermarket,50004,Lulu Hypermarket - Bur Dubai,Bur Dubai,Anjali Menon,Mintleaf,HPC,-1,-664.14
SO-101868,2024-01-10,Sales,1007,Al Maya Supermarket,50026,Al Maya Supermarket - International City,International City,Sunil Kumar,Caressa,HPC,3,4323.06
SO-100375,2024-01-11,Sales,1012,Viva Supermarket,50055,Viva Supermarket - Downtown,Downtown,Joseph Mathew,Mintleaf,HPC,5,3610.3
SO-101842,2024-01-11,Sales,1013,Grandiose Supermarket,50058,Grandiose Supermarket - Festival City,Festival City,Omar Haddad,DeliMia,Food,3,3139.86
SO-100607,2024-01-12,Sales,1013,Grandiose Supermarket,50058,Grandiose Supermarket - Festival City,Festival City,Omar Haddad,PureGlow,HPC,100,246260.0
SO-100654,2024-01-12,Sales,1004,Choithrams,50015,Choithrams - JLT,JLT,Arjun Pillai,FreshNest,Food,5,3777.45
SO-101398,2024-01-12,Sales,1010,Géant,50041,Géant - Dubai Marina,Dubai Marina,Fatima Khan,PureGlow,HPC,1,2399.5
SO-101581,2024-01-12,Sales,1014,Day to Day,50059,Day to Day - Al Qusais,Al Qusais,Anjali Menon,Oasis Delights,Food,2,1416.38
SO-101880,2024-01-12,Sales,1013,Grandiose Supermarket,50058,Grandiose Supermarket - Festival City,Festival City,Omar Haddad,Marhaba Gold,Food,20,14481.2
SO-100040,2024-01-13,Sales,1004,Choithrams,50013,Choithrams - Karama,Karama,Daniel Costa,Sparklo,HPC,5,3991.55
SO-100852,2024-01-13,Sales,1007,Al Maya Supermarket,50029,Al Maya Supermarket - Motor City,Motor City,Rashid Al Marzooqi,DeliMia,Food,2,1971.94
SO-101334,2024-01-13,Sales,1008,Nesto Hypermarket,50032,Nesto Hypermarket - Discovery Gardens,Discovery Gardens,Lina Aboud,Zaytoona,Food,60,103249.2
SO-101738,2024-01-13,Sales,1012,Viva Supermarket,50054,Viva Supermarket - Jebel Ali,Jebel Ali,Priya Raj,Auracare,HPC,1,2493.1
SO-100244,2024-01-14,Sales,1014,Day to Day,50059,Day to Day - Al Qusais,Al Qusais,Anjali Menon,Auracare,HPC,3,7028.34
SO-100981,2024-01-14,Sales,1014,Day to Day,50062,Day to Day - Deira,Deira,Rashid Al Marzooqi,SunHarvest,Food,1,528.13
SO-101028,2024-01-14,Sales,1014,Day to Day,50059,Day to Day - Al Qusais,Al Qusais,Anjali Menon,Mintleaf,HPC,1,654.44
SO-101267,2024-01-14,Sales,1014,Day to Day,50063,Day to Day - Al Barsha,Al Barsha,Mohammed Saleh,FreshLine,HPC,1,1153.97
SO-100188,2024-01-15,Sales,1009,West Zone Supermarket,50038,West Zone Supermarket - Downtown,Downtown,Joseph Mathew,Cleanova,HPC,2,2136.22
SO-100459,2024-01-15,Sales,1005,Union Coop,50020,Union Coop - Al Qusais,Al Qusais,Anjali Menon,Bakehouse Co,Food,20,17324.2
SO-100594,2024-01-15,Sales,1011,Aswaaq,50047,Aswaaq - Festival City,Festival City,Omar Haddad,SunHarvest,Food,2,1053.38
SO-100923,2024-01-16,Sales,1013,Grandiose Supermarket,50058,Grandiose Supermarket - Festival City,Festival City,Omar Haddad,Auracare,HPC,2,4129.5
SO-101271,2024-01-16,Sales,1006,Waitrose,50022,Waitrose - Mirdif,Mirdif,Vikram Nair,Cleanova,HPC,2,2644.82
SO-101527,2024-01-16,Sales,1005,Union Coop,50020,Union Coop - Al Qusais,Al Qusais,Anjali Menon,Auracare,HPC,2,5471.8
SO-100812,2024-01-17,Sales,1007,Al Maya Supermarket,50026,Al Maya Supermarket - International City,International City,Sunil Kumar,Zaytoona,Food,60,87552.6
SO-101290,2024-01-17,Return,1002,Lulu Hypermarket,50006,Lulu Hypermarket - Deira,Deira,Rashid Al Marzooqi,Marhaba Gold,Food,-60,-33769.8
SO-101985,2024-01-17,Sales,1002,Lulu Hypermarket,50005,Lulu Hypermarket - Silicon Oasis,Silicon Oasis,Mariam Hassan,FreshNest,Food,1,804.59
SO-100176,2024-01-18,Sales,1012,Viva Supermarket,50052,Viva Supermarket - Dubai Marina,Dubai Marina,Fatima Khan,Marhaba Gold,Food,2,1452.4
SO-101370,2024-01-18,Sales,1008,Nesto Hypermarket,50032,Nesto Hypermarket - Discovery Gardens,Discovery Gardens,Lina Aboud,SunHarvest,Food,2,934.92
SO-101613,2024-01-18,Sales,1010,Géant,50042,Géant - Bur Dubai,Bur Dubai,Anjali Menon,Crunchio,Food,3,1328.85
SO-100167,2024-01-19,Sales,1007,Al Maya Supermarket,50028,Al Maya Supermarket - Al Qusais,Al Qusais,Anjali Menon,Sparklo,HPC,2,2093.44
SO-100291,2024-01-19,Sales,1013,Grandiose Supermarket,50057,Grandiose Supermarket - Jumeirah,Jumeirah,Grace Fernandes,Oasis Delights,Food,2,1419.8
SO-100627,2024-01-19,Return,1007,Al Maya Supermarket,50028,Al Maya Supermarket - Al Qusais,Al Qusais,Anjali Menon,Lumora,HPC,-2,-3307.66
SO-100646,2024-01-19,Sales,1012,Viva Supermarket,50051,Viva Supermarket - Silicon Oasis,Silicon Oasis,Mariam Hassan,DeliMia,Food,8,10034.96
SO-101309,2024-01-19,Sales,1014,Day to Day,50059,Day to Day - Al Qusais,Al Qusais,Anjali Menon,SunHarvest,Food,2,1020.94
SO-101375,2024-01-19,Sales,1014,Day to Day,50061,Day to Day - Motor City,Motor City,Rashid Al Marzooqi,Auracare,HPC,3,6948.42
SO-100269,2024-01-21,Sales,1009,West Zone Supermarket,50038,West Zone Supermarket - Downtown,Downtown,Joseph Mathew,PureGlow,HPC,12,30615.12
SO-101223,2024-01-21,Sales,1008,Nesto Hypermarket,50030,Nesto Hypermarket - JLT,JLT,Arjun Pillai,SunHarvest,Food,20,9830.0
SO-101344,2024-01-21,Sales,1015,Safeer Market,50068,Safeer Market - Al Quoz,Al Quoz,Ayesha Siddiqui,Crunchio,Food,12,4887.96
SO-101668,2024-01-21,Sales,1007,Al Maya Supermarket,50029,Al Maya Supermarket - Motor City,Motor City,Rashid Al Marzooqi,Lumora,HPC,3,6070.41
SO-101764,2024-01-21,Sales,1010,Géant,50045,Géant - Deira,Deira,Rashid Al Marzooqi,Crunchio,Food,2,952.1
SO-100388,2024-01-22,Sales,1014,Day to Day,50062,Day to Day - Deira,Deira,Rashid Al Marzooqi,FreshLine,HPC,60,70688.4
SO-101153,2024-01-22,Sales,1004,Choithrams,50015,Choithrams - JLT,JLT,Arjun Pillai,Cedarna,Food,60,86334.6
SO-101786,2024-01-22,Sales,1010,Géant,50046,Géant - Jumeirah,Jumeirah,Grace Fernandes,Cedarna,Food,3,3898.83
SO-100222,2024-01-23,Sales,1004,Choithrams,50015,Choithrams - JLT,JLT,Arjun Pillai,Verdé,HPC,12,21603.84
SO-100337,2024-01-23,Sales,1007,Al Maya Supermarket,50029,Al Maya Supermarket - Motor City,Motor City,Rashid Al Marzooqi,FreshLine,HPC,8,7184.4
SO-100356,2024-01-23,Sales,1008,Nesto Hypermarket,50031,Nesto Hypermarket - Bur Dubai,Bur Dubai,Anjali Menon,Auracare,HPC,1,2642.52
SO-101967,2024-01-23,Sales,1005,Union Coop,50018,Union Coop - International City,International City,Sunil Kumar,Auracare,HPC,3,7207.5
SO-100416,2024-01-24,Sales,1001,Carrefour,50002,Carrefour - Jebel Ali,Jebel Ali,Priya Raj,Marhaba Gold,Food,5,2994.05
SO-101572,2024-01-24,Sales,1005,Union Coop,50017,Union Coop - Karama,Karama,Daniel Costa,Auracare,HPC,1,2066.22
SO-100528,2024-01-25,Sales,1010,Géant,50046,Géant - Jumeirah,Jumeirah,Grace Fernandes,Cleanova,HPC,2,2417.32
SO-101440,2024-01-25,Sales,1001,Carrefour,50002,Carrefour - Jebel Ali,Jebel Ali,Priya Raj,Caressa,HPC,1,1462.88
SO-100022,2024-01-26,Return,1011,Aswaaq,50047,Aswaaq - Festival City,Festival City,Omar Haddad,Verdé,HPC,-8,-16774.64
SO-100064,2024-01-26,Sales,1012,Viva Supermarket,50055,Viva Supermarket - Downtown,Downtown,Joseph Mathew,Zaytoona,Food,60,95022.0
SO-100009,2024-01-27,Sales,1014,Day to Day,50060,Day to Day - Jumeirah,Jumeirah,Grace Fernandes,Sparklo,HPC,1,845.34
SO-100234,2024-01-28,Return,1009,  West Zone Supermarket ,50035,West Zone Supermarket - JLT,JLT,Arjun Pillai,Mintleaf,HPC,-5,-3949.7
SO-100319,2024-01-28,Sales,1010,Géant,50041,Géant - Dubai Marina,Dubai Marina,Fatima Khan,Oasis Delights,Food,40,28711.2
SO-100432,2024-01-28,Return,1005,Union Coop,50017,Union Coop - Karama,Karama,Daniel Costa,Goldenfields,Food,-5,-5301.8
SO-100739,2024-01-28,Sales,1005,Union Coop,50020,Union Coop - Al Qusais,Al Qusais,Anjali Menon,PureGlow,HPC,8,18746.4
SO-100782,2024-01-29,Sales,1009,West Zone Supermarket,50035,West Zone Supermarket - JLT,JLT,Arjun Pillai,Cleanova,HPC,1,1192.67
SO-101262,2024-01-30,Sales,1006,Waitrose,50025,Waitrose - International City,International City,Sunil Kumar,Caressa,HPC,2,2778.22
SO-101501,2024-01-30,Sales,1015,Safeer Market,50065,Safeer Market - Discovery Gardens,Discovery Gardens,Lina Aboud,Zaytoona,Food,3,5085.69
SO-100259,2024-01-31,Sales,1015,Safeer Market,50069,Safeer Market - Bur Dubai,Bur Dubai,Anjali Menon,Crunchio,Food,1,453.36
SO-100796,2024-01-31,Sales,1008,Nesto Hypermarket,50034,Nesto Hypermarket - Deira,Deira,Rashid Al Marzooqi,Zaytoona,Food,2,3128.3
SO-101124,2024-01-31,Sales,1006,Waitrose,50025,Waitrose - International City,International City,Sunil Kumar,DeliMia,Food,3,3825.54
SO-101300,2024-01-31,Sales,1007,Al Maya Supermarket,50028,Al Maya Supermarket - Al Qusais,Al Qusais,Anjali Menon,Verdé,HPC,8,16449.6
SO-101768,2024-02-02,Sales,1010,Géant,50046,Géant - Jumeirah,Jumeirah,Grace Fernandes,Auracare,HPC,5,9980.85
SO-101862,2024-02-02,Sales,1011,Aswaaq,50048,Aswaaq - Al Barsha,Al Barsha,Mohammed Saleh,Auracare,HPC,5,12134.85
SO-101988,2024-02-02,Sales,1014,Day to Day,50059,Day to Day - Al Qusais,Al Qusais,Anjali Menon,FreshLine,HPC,8,7755.28
SO-100404,2024-02-04,Sales,1007,Al Maya Supermarket,50029,Al Maya Supermarket - Motor City,Motor City,Rashid Al Marzooqi,Goldenfields,Food,40,36588.8
SO-101178,2024-02-04,Sales,1005,Union Coop,50020,Union Coop - Al Qusais,Al Qusais,Anjali Menon,Marhaba Gold,Food,12,6541.32
SO-100032,2024-02-05,Sales,1006,Waitrose,50021,Waitrose - Deira,Deira,Rashid Al Marzooqi,Verdé,HPC,8,16451.36
SO-100527,2024-02-05,Sales,1012,Viva Supermarket,50055,Viva Supermarket - Downtown,Downtown,Joseph Mathew,Auracare,HPC,20,46503.6
SO-100693,2024-02-05,Sales,1008,Nesto Hypermarket,50030,Nesto Hypermarket - JLT,JLT,Arjun Pillai,Mintleaf,HPC,2,1452.0
SO-100156,2024-02-06,Return,1012,Viva Supermarket,50052,Viva Supermarket - Dubai Marina,Dubai Marina,Fatima Khan,Cleanova,HPC,-60,-82416.0
SO-100341,2024-02-06,Sales,1007,Al Maya Supermarket,50026,Al Maya Supermarket - International City,International City,Sunil Kumar,Crunchio,Food,8,3406.32
SO-100681,2024-02-06,Sales,1015,Safeer Market,50068,Safeer Market - Al Quoz,Al Quoz,Ayesha Siddiqui,Silkene,HPC,5,7675.9
SO-100771,2024-02-07,Sales,1009,West Zone Supermarket,50039,West Zone Supermarket - International City,International City,Sunil Kumar,Crunchio,Food,3,1673.46
SO-100688,2024-02-08,Sales,1001,Carrefour,50001,Carrefour - Deira,Deira,Rashid Al Marzooqi,Crunchio,Food,5,2673.15
SO-101589,2024-02-08,Sales,1015,Safeer Market,50069,Safeer Market - Bur Dubai,Bur Dubai,Anjali Menon,Marhaba Gold,Food,1,648.96
SO-101637,2024-02-08,Sales,1012,Viva Supermarket,50052,Viva Supermarket - Dubai Marina,Dubai Marina,Fatima Khan,Goldenfields,Food,3,2917.32
SO-100922,2024-02-09,Sales,1006,Waitrose,50024,Waitrose - Jumeirah,Jumeirah,Grace Fernandes,Marhaba Gold,Food,20,14082.4
SO-101585,2024-02-10,Sales,1006,Waitrose,50024,Waitrose - Jumeirah,Jumeirah,Grace Fernandes,Silkene,HPC,8,14654.88
SO-100853,2024-02-11,Sales,1009,West Zone Supermarket,50039,West Zone Supermarket - International City,International City,Sunil Kumar,Auracare,HPC,8,18548.88
SO-100842,2024-02-12,Sales,1008,Nesto Hypermarket,50032,Nesto Hypermarket - Discovery Gardens,Discovery Gardens,Lina Aboud,Marhaba Gold,Food,1,663.14
SO-101888,2024-02-12,Sales,1015,Safeer Market,50069,Safeer Market - Bur Dubai,Bur Dubai,Anjali Menon,Verdé,HPC,3,6959.88
SO-100007,2024-02-13,Sales,1011,Aswaaq,50049,Aswaaq - Downtown,Downtown,Joseph Mathew,Sparklo,HPC,1,851.02
SO-100532,2024-02-13,Sales,1003,Spinneys,50009,Spinneys - Bur Dubai,Bur Dubai,Anjali Menon,Marhaba Gold,Food,8,4334.24
SO-101353,2024-02-13,Sales,1012,Viva Supermarket,50055,Viva Supermarket - Downtown,Downtown,Joseph Mathew,Marhaba Gold,Food,1,604.11
SO-101509,2024-02-13,Sales,1015,Safeer Market,50067,Safeer Market - Jumeirah,Jumeirah,Grace Fernandes,Zaytoona,Food,20,36465.6
SO-101567,2024-02-13,Sales,1008,Nesto Hypermarket,50030,Nesto Hypermarket - JLT,JLT,Arjun Pillai,Goldenfields,Food,8,7981.36
SO-101251,2024-02-14,Sales,1010,Géant,50042,Géant - Bur Dubai,Bur Dubai,Anjali Menon,Sparklo,HPC,5,4371.75
SO-101295,2024-02-14,Return,1010,Géant,50044,Géant - Al Barsha,Al Barsha,Mohammed Saleh,Marhaba Gold,Food,-3,-1874.88
SO-101615,2024-02-14,Sales,1005,Union Coop,50016,Union Coop - Al Quoz,Al Quoz,Ayesha Siddiqui,FreshNest,Food,2,1486.24
SO-100083,2024-02-15,Sales,1005,Union Coop,50019,Union Coop - Jebel Ali,Jebel Ali,Priya Raj,Verdé,HPC,8,16252.0
SO-100096,2024-02-15,Sales,1001,Carrefour,50001,Carrefour - Deira,Deira,Rashid Al Marzooqi,Silkene,HPC,8,14905.92
SO-100307,2024-02-15,Sales,1014,Day to Day,50060,Day to Day - Jumeirah,Jumeirah,Grace Fernandes,FreshLine,HPC,3,2621.82
SO-100858,2024-02-15,Sales,1009,West Zone Supermarket,50037,West Zone Supermarket - Al Qusais,Al Qusais,Anjali Menon,Goldenfields,Food,2,2074.52
SO-101435,2024-02-15,Sales,1008,Nesto Hypermarket,50030,Nesto Hypermarket - JLT,JLT,Arjun Pillai,Mintleaf,HPC,1,703.04
SO-100382,2024-02-16,Sales,1008,Nesto Hypermarket,50034,Nesto Hypermarket - Deira,Deira,Rashid Al Marzooqi,Goldenfields,Food,2,2204.7
SO-100611,2024-02-16,Return,1012,Viva Supermarket,50052,Viva Supermarket - Dubai Marina,Dubai Marina,Fatima Khan,Cedarna,Food,-2,-2669.54
SO-100661,2024-02-16,Sales,1008,Nesto Hypermarket,50030,Nesto Hypermarket - JLT,JLT,Arjun Pillai,Auracare,HPC,100,262930.0
SO-100978,2024-02-16,Sales,1014,Day to Day,50060,Day to Day - Jumeirah,Jumeirah,Grace Fernandes,Oasis Delights,Food,1,937.25
SO-101459,2024-02-16,Sales,1015,Safeer Market,50068,Safeer Market - Al Quoz,Al Quoz,Ayesha Siddiqui,FreshLine,HPC,100,92026.0
SO-101617,2024-02-16,Return,1011,Aswaaq,50047,Aswaaq - Festival City,Festival City,Omar Haddad,Auracare,HPC,-3,-6218.13
SO-101651,2024-02-16,Sales,1011,Aswaaq,50048,Aswaaq - Al Barsha,Al Barsha,Mohammed Saleh,Zaytoona,Food,20,32489.2
SO-101848,2024-02-16,Sales,1007,Al Maya Supermarket,50026,Al Maya Supermarket - International City,International City,Sunil Kumar,Marhaba Gold,Food,3,2227.59
SO-101923,2024-02-16,Sales,1008,Nesto Hypermarket,50032,Nesto Hypermarket - Discovery Gardens,Discovery Gardens,Lina Aboud,Marhaba Gold,Food,2,1260.22
SO-101972,2024-02-17,Sales,1012,Viva Supermarket,50051,Viva Supermarket - Silicon Oasis,Silicon Oasis,Mariam Hassan,Marhaba Gold,Food,20,14069.2
SO-100726,2024-02-18,Sales,1005,Union Coop,50016,Union Coop - Al Quoz,Al Quoz,Ayesha Siddiqui,Mintleaf,HPC,12,9612.12
SO-101949,2024-02-18,Sales,1001,Carrefour,50003,Carrefour - Satwa,Satwa,Mohammed Saleh,Cleanova,HPC,100,119429.0
SO-100241,2024-02-19,Sales,1005,Union Coop,50020,Union Coop - Al Qusais,Al Qusais,Anjali Menon,Zaytoona,Food,20,31875.0
SO-100494,2024-02-19,Sales,1009,West Zone Supermarket,50040,West Zone Supermarket - Dubai Marina,Dubai Marina,Fatima Khan,Verdé,HPC,1,2275.71
SO-100944,2024-02-19,Sales,1012,Viva Supermarket,50052,Viva Supermarket - Dubai Marina,Dubai Marina,Fatima Khan,Cedarna,Food,1,1234.92
SO-100335,2024-02-20,Sales,1010,Géant,50044,Géant - Al Barsha,Al Barsha,Mohammed Saleh,DeliMia,Food,5,4952.35
SO-100518,2024-02-20,Sales,1007,Al Maya Supermarket,50029,Al Maya Supermarket - Motor City,Motor City,Rashid Al Marzooqi,PureGlow,HPC,12,36896.64
SO-101424,2024-02-20,Sales,1002,Lulu Hypermarket,50005,Lulu Hypermarket - Silicon Oasis,Silicon Oasis,Mariam Hassan,Cleanova,HPC,1,1327.9
SO-101803,2024-02-20,Sales,1012,Viva Supermarket,50051,Viva Supermarket - Silicon Oasis,Silicon Oasis,Mariam Hassan,FreshNest,Food,1,740.45
SO-100229,2024-02-21,Sales,1008,Nesto Hypermarket,50030,Nesto Hypermarket - JLT,JLT,Arjun Pillai,Silkene,HPC,1,1985.46
SO-100734,2024-02-21,Sales,1004,Choithrams,50013,Choithrams - Karama,Karama,Daniel Costa,Marhaba Gold,Food,5,3707.85
SO-101035,2024-02-21,Sales,1011,Aswaaq,50048,Aswaaq - Al Barsha,Al Barsha,Mohammed Saleh,Sparklo,HPC,3,3077.49
SO-101384,2024-02-22,Sales,1013,Grandiose Supermarket,50056,Grandiose Supermarket - Silicon Oasis,Silicon Oasis,Mariam Hassan,FreshNest,Food,2,1427.74
SO-101015,2024-02-23,Sales,1008,Nesto Hypermarket,50030,Nesto Hypermarket - JLT,JLT,Arjun Pillai,FreshNest,Food,2,1572.42
SO-101204,2024-02-23,Sales,1004,Choithrams,50014,Choithrams - Dubai Marina,Dubai Marina,Fatima Khan,DeliMia,Food,1,1067.49
SO-101213,2024-02-23,Return,1003,Spinneys,50010,Spinneys - Mirdif,Mirdif,Vikram Nair,Verdé,HPC,-8,-18022.08
SO-101243,2024-02-23,Sales,1007,Al Maya Supermarket,50028,Al Maya Supermarket - Al Qusais,Al Qusais,Anjali Menon,Bakehouse Co,Food,5,4682.85
SO-100195,2024-02-24,Sales,1009,West Zone Supermarket,50039,West Zone Supermarket - International City,International City,Sunil Kumar,Crunchio,Food,1,480.51
SO-100737,2024-02-24,Sales,1012,Viva Supermarket,50053,Viva Supermarket - Al Barsha,Al Barsha,Mohammed Saleh,Bakehouse Co,Food,1,735.86
SO-101890,2024-02-24,Sales,1011,Aswaaq,50047,Aswaaq - Festival City,Festival City,Omar Haddad,Bakehouse Co,Food,5,4295.55
SO-100001,2024-02-25,Sales,1014,Day to Day,50063,Day to Day - Al Barsha,Al Barsha,Mohammed Saleh,FreshLine,HPC,1,956.56
SO-101181,2024-02-25,Sales,1010,Géant,50044,Géant - Al Barsha,Al Barsha,Mohammed Saleh,Cleanova,HPC,1,1227.68
SO-101272,2024-02-26,Sales,1006,Waitrose,50023,Waitrose - Bur Dubai,Bur Dubai,Anjali Menon,Marhaba Gold,Food,1,706.85
SO-101658,2024-02-26,Sales,1010,Géant,50041,Géant - Dubai Marina,Dubai Marina,Fatima Khan,FreshNest,Food,3,2246.16
SO-100430,2024-02-27,Sales,1008,Nesto Hypermarket,50030,Nesto Hypermarket - JLT,JLT,Arjun Pillai,Bakehouse Co,Food,3,2265.99
SO-100727,2024-02-27,Sales,1008,Nesto Hypermarket,50032,Nesto Hypermarket - Discovery Gardens,Discovery Gardens,Lina Aboud,FreshLine,HPC,40,38824.4
SO-100967,2024-02-27,Sales,1005,Union Coop,50019,Union Coop - Jebel Ali,Jebel Ali,Priya Raj,Caressa,HPC,2,2565.56
SO-101299,2024-02-27,Sales,1005,Union Coop,50018,Union Coop - International City,International City,Sunil Kumar,Silkene,HPC,1,1588.05
SO-101517,2024-02-27,Sales,1003,Spinneys,50008,Spinneys - Jumeirah,Jumeirah,Grace Fernandes,Cedarna,Food,40,59155.6
SO-100840,2024-02-28,Sales,1014,Day to Day,50060,Day to Day - Jumeirah,Jumeirah,Grace Fernandes,Cleanova,HPC,40,46667.6
SO-101390,2024-02-28,Sales,1003,Spinneys,50007,Spinneys - Al Qusais,Al Qusais,Anjali Menon,Goldenfields,Food,5,4137.45
SO-101525,2024-02-28,Sales,1009,West Zone Supermarket,50038,West Zone Supermarket - Downtown,Downtown,Joseph Mathew,Auracare,HPC,1,2584.59
SO-100503,2024-02-29,Sales,1005,Union Coop,50020,Union Coop - Al Qusais,Al Qusais,Anjali Menon,Mintleaf,HPC,20,16193.8
SO-101825,2024-02-29,Sales,1013,Grandiose Supermarket,50058,Grandiose Supermarket - Festival City,Festival City,Omar Haddad,Crunchio,Food,5,2409.05
SO-101961,2024-02-29,Sales,1012,Viva Supermarket,50053,Viva Supermarket - Al Barsha,Al Barsha,Mohammed Saleh,Cedarna,Food,1,1231.62
SO-101962,2024-02-29,Sales,1007,Al Maya Supermarket,50026,Al Maya Supermarket - International City,International City,Sunil Kumar,FreshLine,HPC,1,1016.04
SO-100599,2024-03-01,Sales,1006,Waitrose,50024,Waitrose - Jumeirah,Jumeirah,Grace Fernandes,Auracare,HPC,5,10137.15
SO-100874,2024-03-01,Sales,1009,West Zone Supermarket,50036,West Zone Supermarket - Deira,Deira,Rashid Al Marzooqi,DeliMia,Food,8,8606.32
SO-101706,2024-03-01,Sales,1007,Al Maya Supermarket,50026,Al Maya Supermarket - International City,International City,Sunil Kumar,Mintleaf,HPC,60,38419.8
SO-100877,2024-03-02,Sales,1015,Safeer Market,50064,Safeer Market - Motor City,Motor City,Rashid Al Marzooqi,PureGlow,HPC,2,5560.42
SO-100942,2024-03-02,Sales,1005,Union Coop,50020,Union Coop - Al Qusais,Al Qusais,Anjali Menon,Goldenfields,Food,40,33247.2
SO-101012,2024-03-02,Sales,1006,Waitrose,50024,Waitrose - Jumeirah,Jumeirah,Grace Fernandes,Lumora,HPC,2,4404.82
SO-101605,2024-03-02,Sales,1008,Nesto Hypermarket,50032,Nesto Hypermarket - Discovery Gardens,Discovery Gardens,Lina Aboud,Oasis Delights,Food,2,1646.94
SO-100605,2024-03-03,Sales,1004,Choithrams,50014,Choithrams - Dubai Marina,Dubai Marina,Fatima Khan,Bakehouse Co,Food,1,798.74
SO-100705,2024-03-03,Sales,1010,Géant,50046,Géant - Jumeirah,Jumeirah,Grace Fernandes,DeliMia,Food,2,2142.8
SO-101244,2024-03-03,Sales,1014,Day to Day,50060,Day to Day - Jumeirah,Jumeirah,Grace Fernandes,Silkene,HPC,2,2976.52
SO-101429,2024-03-03,Sales,1004,Choithrams,50014,Choithrams - Dubai Marina,Dubai Marina,Fatima Khan,Lumora,HPC,40,67716.8
SO-100644,2024-03-04,Sales,1008,Nesto Hypermarket,50031,Nesto Hypermarket - Bur Dubai,Bur Dubai,Anjali Menon,Oasis Delights,Food,1,810.61
